x,y,timestamp,targetX,targetY,user,error,dt_sec,in_bookshelf,in_sofa_web,in_sofa_game,in_phone,in_lamp,in_tv,in_files
482.04,25.82,5282.600000143051,308.97,89.55,5,,41.10000014305115,False,False,False,False,False,False,False
526.63,3.74,5319.100000143051,341.62,76.67,5,,36.5,False,False,False,False,False,False,False
540.06,12.03,5609.700000047684,371.38,66.98,5,,290.59999990463257,False,False,False,False,False,False,False
536.84,23.27,5645.400000095367,396.2,60.42,5,,35.700000047683716,False,False,False,False,False,False,False
532.92,27.73,5686.800000190735,416.71,55.52,5,,41.40000009536743,False,False,False,False,False,False,False
517.39,30.88,5725.200000047684,431.81,51.82,5,,38.39999985694885,False,False,False,False,False,False,False
514.71,34.39,5768.400000095367,444.25,49.21,5,,43.200000047683716,False,False,False,False,False,False,False
516.25,38.15,5820.0,455.05,47.55,5,,51.59999990463257,False,False,False,False,False,False,False
516.78,41.02,5855.800000190735,464.31,46.57,5,,35.80000019073486,False,False,False,False,False,False,False
516.46,43.33,5903.100000143051,472.13,46.08,5,,47.299999952316284,False,False,False,False,False,False,False
514.13,44.1,5938.600000143051,478.43,45.79,5,,35.5,False,False,False,False,False,False,False
523.75,46.41,5984.600000143051,485.23,45.88,5,,46.0,False,False,False,False,False,False,False
522.39,47.96,6032.900000095367,490.8,46.19,5,,48.299999952316284,False,False,False,False,False,False,False
515.48,48.58,6086.800000190735,494.5,46.55,5,,53.90000009536743,False,False,False,False,False,False,False
513.33,47.11,6125.300000190735,497.33,46.63,5,,38.5,False,False,False,False,False,False,False
499.15,44.13,6161.100000143051,497.6,46.26,5,,35.799999952316284,False,False,False,False,False,False,False
494.69,42.79,6195.400000095367,497.16,45.74,5,,34.299999952316284,False,False,False,False,False,False,False
488.24,41.62,6231.100000143051,495.82,45.12,5,,35.700000047683716,False,False,False,False,False,False,False
503.19,41.92,6266.900000095367,496.93,44.64,5,,35.799999952316284,False,False,False,False,False,False,False
529.59,44.01,6303.0,501.83,44.55,5,,36.09999990463257,False,False,False,False,False,False,False
552.6,43.7,6345.700000047684,509.44,44.42,5,,42.700000047683716,False,False,False,False,False,False,False
521.74,84.5,6390.400000095367,511.29,50.43,5,,44.700000047683716,False,False,False,False,False,False,False
442.69,186.16,6428.0,501.0,70.79,5,,37.59999990463257,False,False,False,False,False,False,False
367.8,263.23,6467.600000143051,481.02,99.66,5,,39.60000014305115,False,False,False,False,False,False,False
280.51,252.61,6510.100000143051,450.94,122.6,5,,42.5,True,False,False,False,False,False,False
215.45,361.23,6548.800000190735,415.62,158.39,5,,38.700000047683716,True,False,False,False,False,False,False
157.83,445.72,6581.600000143051,376.95,201.49,5,,32.799999952316284,True,False,False,False,False,False,False
47.19,466.14,6623.400000095367,327.49,241.19,5,,41.799999952316284,True,False,False,False,False,False,False
25.06,526.26,6657.900000095367,282.12,283.95,5,,34.5,False,False,False,False,False,False,False
10.8,513.22,6704.800000190735,241.42,318.34,5,,46.90000009536743,False,False,False,False,False,False,False
83.9,475.34,6749.600000143051,217.79,341.89,5,,44.799999952316284,True,False,False,False,False,False,False
137.54,449.22,6792.700000047684,205.76,357.99,5,,43.09999990463257,True,False,False,False,False,False,False
153.35,447.93,6837.0,197.9,371.48,5,,44.299999952316284,True,False,False,False,False,False,False
322.56,379.35,6880.200000047684,216.59,372.66,5,,43.200000047683716,False,False,False,False,False,False,False
394.25,351.48,6923.0,243.24,369.48,5,,42.799999952316284,False,True,False,False,False,False,False
461.45,319.04,6964.0,275.97,361.92,5,,41.0,False,True,False,False,False,False,False
493.06,302.04,7008.400000095367,308.54,352.93,5,,44.40000009536743,False,False,False,False,False,False,False
592.13,267.52,7050.700000047684,351.08,340.12,5,,42.299999952316284,False,False,False,False,False,False,False
630.28,235.28,7097.200000047684,392.96,324.4,5,,46.5,False,False,False,False,False,False,False
702.41,211.68,7146.5,439.37,307.49,5,,49.299999952316284,False,False,False,False,False,False,False
767.13,176.12,7186.800000190735,488.54,287.78,5,,40.30000019073486,False,False,False,False,False,False,False
813.52,195.96,7226.700000047684,537.29,274.01,5,,39.89999985694885,False,False,False,False,True,False,False
859.21,182.34,7282.100000143051,585.57,260.26,5,,55.40000009536743,False,False,False,False,True,False,False
886.04,152.41,7325.100000143051,630.64,244.08,5,,43.0,False,False,False,False,True,False,False
856.84,165.16,7382.400000095367,664.57,232.24,5,,57.299999952316284,False,False,False,False,True,False,False
880.88,197.71,7432.800000190735,697.02,227.06,5,,50.40000009536743,False,False,False,False,True,False,False
899.87,214.92,7483.200000047684,727.45,225.24,5,,50.39999985694885,False,False,False,False,True,False,False
882.56,241.13,7522.100000143051,750.71,227.62,5,,38.90000009536743,False,False,False,False,False,False,False
864.45,263.6,7559.5,767.77,233.02,5,,37.39999985694885,False,False,False,False,False,False,False
892.26,239.76,7618.900000095367,786.45,234.03,5,,59.40000009536743,False,False,False,False,False,False,False
899.62,236.42,7664.0,803.42,234.39,5,,45.09999990463257,False,False,False,False,False,False,False
909.56,241.83,7710.400000095367,819.34,235.51,5,,46.40000009536743,False,False,False,False,False,False,False
905.39,224.41,7765.800000190735,832.25,233.84,5,,55.40000009536743,False,False,False,False,False,False,False
891.7,208.42,7815.900000095367,841.17,230.03,5,,50.09999990463257,False,False,False,False,True,False,False
881.77,192.4,7865.700000047684,847.26,224.38,5,,49.799999952316284,False,False,False,False,True,False,False
900.1,186.79,7915.900000095367,855.18,218.75,5,,50.200000047683716,False,False,False,False,True,False,False
895.38,176.38,7970.600000143051,861.21,212.39,5,,54.700000047683716,False,False,False,False,True,False,False
896.25,170.26,8014.5,866.47,206.07,5,,43.89999985694885,False,False,False,False,True,False,False
891.09,161.58,8053.200000047684,870.16,199.4,5,,38.700000047683716,False,False,False,False,True,False,False
887.71,154.92,8090.600000143051,872.79,192.73,5,,37.40000009536743,False,False,False,False,True,False,False
854.85,145.29,8127.600000143051,870.1,185.61,5,,37.0,False,False,False,False,True,False,False
811.45,134.71,8164.5,861.3,177.98,5,,36.89999985694885,False,False,False,False,False,False,False
820.94,134.89,8208.800000190735,855.25,171.51,5,,44.30000019073486,False,False,False,False,True,False,False
826.87,136.94,8248.0,850.99,166.33,5,,39.19999980926514,False,False,False,False,True,False,False
836.53,141.77,8302.400000095367,848.82,162.64,5,,54.40000009536743,False,False,False,False,True,False,False
845.22,140.17,8340.0,848.28,159.27,5,,37.59999990463257,False,False,False,False,True,False,False
852.86,139.22,8373.400000095367,848.97,156.27,5,,33.40000009536743,False,False,False,False,True,False,False
832.98,133.82,8411.600000143051,846.57,152.9,5,,38.200000047683716,False,False,False,False,True,False,False
823.6,131.91,8445.700000047684,843.12,149.75,5,,34.09999990463257,False,False,False,False,True,False,False
815.89,130.67,8480.0,839.04,146.89,5,,34.299999952316284,False,False,False,False,True,False,False
820.99,133.36,8518.800000190735,836.33,144.86,5,,38.80000019073486,False,False,False,False,True,False,False
